video_id	description	date	link	views	likes	duration	comments_number	ref_link	whois_info
UdDkpwErkIE	Разворачивайте гибкую и надежную IT-инфраструктуру в облаке собственной разработки Selectel: https://slc.tl/v4h6c\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРолик содержит рекламную интеграцию ООО «Селектел», ИНН 7842393933\nerid=Pb3XmBtzt74Baf46kPC7ZUoGxFsCx1UGKFNNMAv	2023-02-25	https://www.youtube.com/watch?v=UdDkpwErkIE	237209	10945	PT16M8S	938	https://selectel.ru/services/cloud/?utm_source=youtube.com&utm_medium=referral&utm_campaign=cloud_platform_0223_wylsacom_250223_paid	Selectel, Co. Ltd.
lo5glVHBlTs	Оформляй МегаПодписку от МегаФона и плати за связь и новый смартфон раз в месяц http://bit.ly/3lyKcYs\n\nСпасибо BigGeek за предоставленные смартфоны - https://biggeek.ru/\nСпасибо сервису iSupport за ремонт - https://www.isupport.ru/\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРолик содержит рекламную интеграцию ПАО МегаФон\nerid=Pb3XmBtzt7qBnFTRzz3D6QAipfy7HKWMfAUhY9k	2023-02-21	https://www.youtube.com/watch?v=lo5glVHBlTs	457623	25993	PT19M28S	1654	https://tatarstan.shop.megafon.ru/promo/all-smartphone-by-subscription?utm_source=youtube&utm_medium=pr_blogger&utm_campaign=pr_megapodpiska&utm_content=video&utm_term=wylsacom	"PJSC ""MegaFon"""
XjxG87B-gzc	Надежный менеджер паролей для бизнеса https://passwork.ru/wylsacom\n\nЛучший магазин гаджетов, вся техника Apple и не только тут: http://biggeek.ru\n\n#apple #MacBook #m2 #max\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРолик содержит рекламную интеграцию.\nerid=Pb3XmBtzst1i4h4vVLrTxXz8q2aguwAKsw6pki4	2023-02-15	https://www.youtube.com/watch?v=XjxG87B-gzc	426331	25879	PT25M58S	1740	https://passwork.ru/?utm_source=youtube&utm_medium=integration&utm_campaign=wylsacom	passwork.ru
pbeNWOBfJsM	"Сделайте предзаказ на бесплатный Альфа-Стикер: https://alfa.me/QwucXB\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРолик содержит рекламную интеграцию.\nРеклама. АО ""Альфа-Банк""\nerid=Pb3XmBtzsyS3eVUAN1KWE7kRv4KeYQQFSwXcg8E"	2023-02-13	https://www.youtube.com/watch?v=pbeNWOBfJsM	528179	20508	PT24M1S	1813	https://alfabank.ru/lp/retail/dc/nfc/?utm_source=youtube&utm_medium=unit&utm_campaign=marketing_bloggers_feb23_alfacard_&utm_content=wylsacom_integration_&utm_term=&platformid=youtube_unit_marketing_bloggers_feb23_alfacard_wylsacom_integration_	JOINT-STOCK COMPANY ALFA-BANK
kBSCOCIam28	Купить POCO X5 5G и X5 PRO 5G в СИТИЛИНК:\nhttp://bit.ly/3JR0hD2\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nerid=Pb3XmBtzstr7F2C3Ty3kqC8HZFcBJWobdgqJddg\nРолик содержит рекламную интеграцию	2023-02-11	https://www.youtube.com/watch?v=kBSCOCIam28	209167	8292	PT11M54S	996	https://www.citilink.ru/products/63dcc495f1927?utm_source=yt_blogger_Wylsacom&utm_medium=display&utm_campaign=poco_x5	ChKOO Merlion Group Limited
YVJeFyHY9yE	Массажер для тела D701 or — https://www.bork.ru/s/Massazhery_d701/\n\nКольцо Wylsacom в керамическом, серебряном или золотом исполнении. Выводи промокод VALENTIN и получи скидку 10% к 14 февраля. Порадуй свою любовь как положено.\nhttps://payring.ru/wylsacom\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nСодержит рекламу «ООО «БОРК-Импорт» \nerid=Pb3XmBtzt9muxVsrLaSGdFjiLTFXZ6WZsap4FHa	2023-02-07	https://www.youtube.com/watch?v=YVJeFyHY9yE	344873	14098	PT25M7S	1034	https://www.bork.ru/eShop/Massazhery/d701-or/?utm_source=youtube&utm_medium=influence&utm_campaign=Wylsacom&utm_content=d701	OOO BORK-IMPORT
gC3tUxKAwcs	🔥 Успевай присоединиться к ближайшему потоку: https://go.contented.ru/vzmsKw\n-45% на профессию UX/UI дизайнер с нуля за 9 недель по промокоду «WYLSA» до 15 февраля\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРеклама. www.contented.ru\nerid=Pb3XmBtzt74cbD2LU7SwVEN1hptLaJ3NYTUQ9a6	2023-02-06	https://www.youtube.com/watch?v=gC3tUxKAwcs	315795	15709	PT16M53S	769	https://contented.ru/edu/ux-ui-designer-bootcamp/?utm_source=youtube&utm_medium=partner&utm_campaign=none_cd_uxscamp_youtube_partner_course_post_6-2-2023_all_sf_wylsacom_none&utm_content=wylsacom&utm_term=none	Skilfektori, LLC
El-MbEDB3x0	Надежный менеджер паролей для бизнеса https://passwork.ru/wylsacom\n\nСпасибо ребятам из BigGeek за помощь с добычей MacBook'a.\nУ них на канале так же вышел видос, зацените для плюразилма мнений:\nhttps://youtu.be/_G9MdnN9sKc\n\n#macbook #M2Max \n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРолик содержит рекламную интеграцию\nerid=Pb3XmBtzt3FMZSwTCLFvn1mbtSApVaWAtbKzYC6	2023-01-28	https://www.youtube.com/watch?v=El-MbEDB3x0	469855	31272	PT16M30S	956	https://passwork.ru/?utm_source=youtube&utm_medium=integration&utm_campaign=wylsacom	passwork.ru
o-bDDHys8G0	МегаФону 30 лет! Спасибо, что вы с нами http://bit.ly/3R6sGXo\n\n#1993 #Nokia \n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРолик содержит рекламную интеграцию.\nerid=Pb3XmBtzt7Zt8BMh92BsvmL8jzD5WRi7eztZ92E	2023-01-26	https://www.youtube.com/watch?v=o-bDDHys8G0	503975	29993	PT15M8S	2030	https://tatarstan.megafon.ru/fastest/?utm_source=youtube&utm_medium=pr_blogger&utm_campaign=pr_30years&utm_content=video&utm_term=wylsacom	"PJSC ""MegaFon"""
3oyvGa7os5Q	METRO доступен каждому, скачивай приложение по ссылке  https://metro-cc.onelink.me/hIh8/aam0f7q4\n\nПромокод «ТЕХНО500»\nСкидка 500 рублей + бесплатная доставка для новых пользователей. \n*От 3000, не действует на промо. Один раз на одного пользователя.\n\nПромокод «ВИЛСА10»\n10% скидка для всех пользователей. \n*От 3000, не действует на промо. Один раз на одного пользователя. Максимальная скидка 1000 рублей.\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРолик содержит рекламную интеграцию.\nerid=Pb3XmBtzswFpbNXjENdt6WbenL8g3f61waS8Jcg	2023-01-19	https://www.youtube.com/watch?v=3oyvGa7os5Q	634787	41355	PT31M5S	2335	https://online.metro-cc.ru/?utm_source=youtube&utm_medium=cpc&utm_campaign=Youtube_Wylsa_19_Jan_2023&shortlink=aam0f7q4&is_retargeting=true&c=youtube_19012023_Wylsa&pid=youtube&af_xp=custom&source_caller=ui	LCC METRO Cash & Carry
FB-fKzCU8Fg	Получите льготную ипотеку под 5,8% в Альфа-Банке. Это ниже, чем по госпрограмме: https://alfa.me/QoKc9Q\n\nТелеграм Wylsacom - https://t.me/Wylsared\nПриложение Wylsacom для Apple - https://apps.apple.com/ru/app/wylsacom-media/id1481939376\nПриложение Wylsacom для Android - https://play.google.com/store/apps/details?id=com.wylsacom.media&hl=ru\nTwitter - http://twitter.com/wylsacom\nЯндекс Дзен - https://zen.yandex.ru/wylsacom\nГруппа VK - https://vk.com/wylsacom\nСайт - http://wylsa.com\n\nРолик содержит рекламную интеграцию. \nPb3XmBtzt7GUg14pR2ttT18czXMJgECJkfL1nX2	2022-12-31	https://www.youtube.com/watch?v=FB-fKzCU8Fg	305975	16401	PT1H36M31S	1245	https://alfabank.ru/get-money/mortgage/ipoteka-s-gospodderzhkoy/?utm_source=youtube&utm_medium=unit&utm_campaign=marketing_bloggers_nov22_mmb&utm_content=apogovorit__bumper__&utm_term=&platformid=youtube_unit_marketing_bloggers_nov22_mmb__apogovorit__bumper___/	JOINT-STOCK COMPANY ALFA-BANK
